id,Product,Optimized Price,Optimized Revenue
459,CHRISTMAS TOILET ROLL,1.06,251.34016320998523
474,CLASSIC BICYCLE CLIPS,1.38333333333333,532.7984735661412
476,CLASSIC CHROME BICYCLE BELL,1.38333333333333,528.2710657077708
490,COFFEE MUG APPLES DESIGN,1.12,437.943806570461
491,COFFEE MUG BLUE PAISLEY DESIGN,1.12,437.37451198897344
492,COFFEE MUG CAT + BIRD DESIGN,1.12,483.1425293498642
493,COFFEE MUG DOG + BALL DESIGN,1.12,482.9394510181181
494,COFFEE MUG PEARS  DESIGN,1.12,437.8993966148637
514,CREAM HEART CARD HOLDER,2.31,473.33409912113785
532,CUT GLASS HEXAGON T-LIGHT HOLDER,1.69,851.76
565,DINOSAUR KEYRINGS ASSORTED,0.18,33.52059428693004
569,DISCO BALL CHRISTMAS DECORATION,0.1,41.8285714285714
573,DOG BOWL CHASING BALL DESIGN,4.68222222222222,1195.41403646323
586,DOORMAT 3 SMILEY CATS,4.58,1179.2282990753886
588,DOORMAT BLACK FLOCK,4.58,786.314583259645
589,DOORMAT CHRISTMAS VILLAGE,4.58,901.0771086358799
591,DOORMAT FAIRY CAKE,4.58,1488.8111270282511
592,DOORMAT FANCY FONT HOME SWEET HOME,4.58,783.4670888255115
593,DOORMAT HEARTS,4.58,834.1961421537883
596,DOORMAT KEEP CALM AND COME IN,4.58,1025.5516026975179
598,DOORMAT MULTICOLOUR STRIPE,4.58,761.2595216108356
600,DOORMAT NEW ENGLAND,4.58,1046.5878344702744
601,DOORMAT PEACE ON EARTH BLUE,4.58,1167.0613458993143
602,DOORMAT RED RETROSPOT,4.58,795.2186376900117
606,DOORMAT UNION FLAG,4.58,973.5399084334085
612,DOORMAT WELCOME TO OUR HOME,4.58,1098.601607141947
615,DOORSTOP RETROSPOT HEART,4.29444444444444,1414.3712634790877
657,EMPIRE DESIGN ROSETTE,0.82,3184.1104963813696
658,EMPIRE GIFT WRAP,0.34,69.41451754362666
676,ENGLISH ROSE NOTEBOOK A6 SIZE,0.42,134.4
682,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.0866666666666667,188.57428571428554
686,FAIRY CAKE FLANNEL ASSORTED COLOUR,2.15888888888889,1348.612541417405
688,FAIRY CAKES NOTEBOOK A7 SIZE,0.32,74.67326438421185
691,FAIRY TALE COTTAGE NIGHTLIGHT,1.45,593.0457688398684
694,"FANCY FONT BIRTHDAY CARD,",0.36,79.92
695,FANCY FONTS BIRTHDAY WRAP,0.34,213.16462759366598
718,FELTCRAFT DOLL MOLLY,2.3,1172.8301910961904
742,FLOWERS CHANDELIER T-LIGHT HOLDER,1.0,161.936727502991
806,FUNKY DIVA PEN,0.72,326.9901879882792
827,GIN + TONIC DIET METAL SIGN,1.68222222222222,1005.1150701488258
835,GIRAFFE WOODEN RULER,1.65,473.3231000180265
836,GIRLS ALPHABET IRON ON PATCHES,0.17,244.8
838,GLAMOROUS  MUG,0.8,243.77217695377442
871,GOLD MINI TAPE MEASURE,0.72,167.90790955668191
877,GREEN 3 PIECE POLKADOT CUTLERY SET,3.39,721.2047814871594
882,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,0.85,162.3602252714792
898,GROW A FLYTRAP OR SUNFLOWER IN TIN,0.946666666666667,1197.4515767029493
917,HAND WARMER SCOTTY DOG DESIGN,1.79,323.33604670032247
933,HANGING MINI COLOURED BOTTLES,0.52,190.4470276832885
953,HEART OF WICKER LARGE,3.66777777777778,826.8786098941123
965,HERB MARKER BASIL,0.55,833.2500000000001
966,HERB MARKER PARSLEY,0.55,110.00000000000001
979,HOME SWEET HOME MUG,1.06,256.7613057717764
980,HOMEMADE JAM SCENTED CANDLES,1.93,947.4369276836198
994,ICE CREAM BUBBLES,0.72,144.0
1000,IF YOU CAN'T STAND THE HEAT MUG,1.69555555555556,376.5930628079919
1028,JAM MAKING SET PRINTED,1.25,317.0500165791163
1046,JUMBO  BAG BAROQUE BLACK WHITE,1.65,263.5324051975395
1184,MAGIC DRAWING SLATE BAKE A CAKE,0.27,51.59630634381756
1185,MAGIC DRAWING SLATE BUNNIES,0.27,51.59241499381228
1188,MAGIC DRAWING SLATE LEAP FROG,0.27,51.84
1189,MAGIC DRAWING SLATE PURDEY,0.27,52.010134324191725
1208,MEDIUM CERAMIC TOP STORAGE JAR,1.04,4133.23368421053
1223,METAL SIGN TAKE IT OR LEAVE IT,2.55,1270.6335483391042
1225,METAL TUBE CHIME ON BAMBOO,1.0,379.299119234276
1245,MINI LADLE LOVE HEART RED,0.36,77.98165187939316
1247,MINI PAINT SET VINTAGE,0.55,155.79323314476295
1249,MINI PLAYING CARDS BUFFALO BILL,0.36,147.6
1252,MINI PLAYING CARDS GYMKHANA,0.36,288.0
1260,MIRROR MOSAIC GOBLET CANDLE HOLDER,0.95,228.0
1262,MIRROR MOSAIC T-LIGHT HOLDER,0.67,376.05897435897424
1263,MIRROR MOSAIC T-LIGHT HOLDER ROUND,0.53,219.99157607489968
1264,MIRROR MOSAIC VOTIVE HOLDER,0.58,166.19168900220328
1304,NAMASTE SWAGAT INCENSE,0.24,67.96799999999999
1305,NATURAL HANGING QUILTED HEARTS,0.72,155.51999999999998
1357,PACK OF 12 50'S CHRISTMAS TISSUES,0.32,138.24
1361,PACK OF 12 HEARTS DESIGN TISSUES,0.22,157.13132025975648
1362,PACK OF 12 LONDON TISSUES,0.2,90.935943106685
1363,PACK OF 12 PINK PAISLEY TISSUES,0.25,65.88439538972175
1364,PACK OF 12 PINK POLKADOT TISSUES,0.22,153.94808422517016
1365,PACK OF 12 RED RETROSPOT TISSUES,0.25,80.9658531978105
1366,PACK OF 12 SKULL TISSUES,0.25,499.1693332253725
1368,PACK OF 12 SUKI TISSUES,0.2,129.8617074801414
1370,PACK OF 12 VINTAGE CHRISTMAS TISSUE,0.32,138.24
1371,PACK OF 12 VINTAGE DOILY TISSUES,0.32,138.24
1372,PACK OF 12 VINTAGE LEAF TISSUES,0.32,138.24
1373,PACK OF 12 WOODLAND TISSUES,0.21,74.9003699516963
1384,PACK OF 6 SKULL PAPER CUPS,0.53,114.48
1386,PACK OF 6 SMALL FRUIT STRAWS,0.36,103.67999999999999
1388,PACK OF 60 DINOSAUR CAKE CASES,0.4,155.21834268988243
1390,PACK OF 60 PINK PAISLEY CAKE CASES,0.4,189.1011569082484
1392,PACK OF 72 RETROSPOT CAKE CASES,0.4,155.96735551922802
1393,PACK OF 72 SKULL CAKE CASES,0.4,216.5310504340532
1404,PANTRY ROLLING PIN,4.29444444444444,1280.6106329888191
1406,PANTRY WASHING UP BRUSH,1.70333333333333,342.0621214098422
1420,PAPER POCKET TRAVELING FAN,0.07,50.400000000000006
1433,PARTY CHARMS 50 PIECES,0.65,364.4507407383057
1464,PHOTO FRAME CORNICE,3.27,615.6550320445207
1473,PIGGY BANK RETROSPOT,2.73555555555556,755.6557679411335
1489,PINK BLUE FELT CRAFT TRINKET BOX,1.06,260.5313817542947
1506,PINK HANGING HEART T-LIGHT HOLDER,1.0,241.008707025304
1538,PLACE SETTING WHITE HEART,0.36,99.65987229913199
1556,POLKADOT PEN,0.72,216.0
1569,PORCELAIN ROSE SMALL,0.72,161.82847379717782
1586,RAIN PONCHO RETROSPOT,0.65,165.98749167567905
1601,RECYCLED PENCIL WITH RABBIT ERASER,0.16,49.21152533001616
1604,RED  HARMONICA IN BOX,0.98,212.4567758019532
1612,RED DRAWER KNOB ACRYLIC EDWARDIAN,0.85,164.55469984165916
1619,RED HANGING HEART T-LIGHT HOLDER,3.27,623.3946050144416
1659,RED SPOT CERAMIC DRAWER KNOB,0.85,155.12214323615515
1660,RED SPOT GIFT BAG LARGE,1.04,416.0
1661,RED SPOT PAPER GIFT BAG,0.72,144.0
1665,RED TOADSTOOL LED NIGHT LIGHT,1.25,344.97528954242875
1666,RED VICTORIAN FABRIC OVAL BOX,0.29,104.39999999999999
1694,RETRO PLASTIC POLKA TRAY,0.32,80.87135124480993
1702,RETROSPOT HEART HOT WATER BOTTLE,5.70333333333333,1129.0445568210362
1711,REVOLVER WOODEN RULER,1.65,396.85591256910715
1743,ROSE SCENT CANDLE JEWELLED DRAWER,1.33333333333333,424.0077972709536
1746,ROTATING SILVER ANGELS T-LIGHT HLDR,1.74,694.1697748346859
1767,SANDALWOOD FAN,0.53,106.0
1768,SANDWICH BATH SPONGE,1.06,212.0
1769,SAVE THE PLANET MUG,0.8,242.15361011009682
1784,SET 12 COLOURING PENCILS DOILY,0.55,211.20000000000002
1785,SET 12 KIDS  WHITE CHALK STICKS,0.36,78.9530956260192
1786,SET 12 KIDS COLOUR  CHALK STICKS,0.36,80.08593707718431
1788,SET 12 RETRO WHITE CHALK STICKS,0.36,104.70794012381089
1790,SET 2 TEA TOWELS I LOVE LONDON,2.32,1210.7805467455103
1834,SET OF 3 CAKE TINS PANTRY DESIGN,5.85666666666667,1112.8631088077468
1899,SET OF 60 I LOVE LONDON CAKE CASES,0.42,77.73465483811901
1912,SET/10 PINK POLKADOT PARTY CANDLES,1.06,234.2888260073992
1913,SET/10 RED POLKADOT PARTY CANDLES,1.06,305.28000000000003
1987,SKULLS AND CROSSBONES WRAP,0.34,84.82384965198388
2000,SMALL CHINESE STYLE SCISSOR,0.32,403.84000000000003
2021,SMALL POPCORN HOLDER,0.72,179.9424
2041,SOMBRERO,1.25,430.41666666666623
2052,SPACEBOY GIFT WRAP,0.36,144.0
2068,STAR WOODEN CHRISTMAS DECORATION,0.72,167.76200224994543
2100,SWEETHEART BIRD HOUSE,3.3,2024.49690274754
2153,TRADITIONAL WOODEN SKIPPING ROPE,1.02,506.4870596915871
2155,TRAVEL CARD WALLET I LOVE LONDON,0.36,172.79999999999998
2156,TRAVEL CARD WALLET KEEP CALM,0.36,109.26970142427072
2169,TREASURE ISLAND BOOK BOX,1.95,528.4499999999999
2196,VICTORIAN  METAL POSTCARD SPRING,0.531111111111111,175.79142482635274
2197,VICTORIAN GLASS HANGING T-LIGHT,0.9,394.3099575305037
2210,VINTAGE BILLBOARD LOVE/HATE MUG,0.8,343.6390796290184
2211,VINTAGE BILLBOARD MUG,0.8,277.18556553425844
2212,VINTAGE BILLBOARD TEA MUG,1.06,398.82500000000005
2216,VINTAGE CHRISTMAS CAKE FRILL,1.45,435.0
2217,VINTAGE CHRISTMAS GIFT BAG LARGE,1.04,221.86666666666633
2219,VINTAGE CHRISTMAS PAPER GIFT BAG,0.72,144.0
2228,VINTAGE DOILY TRAVEL SEWING KIT,1.65,330.0
2242,VINTAGE RED MUG,0.8,343.84377627017284
2248,VINTAGE SNAP CARDS,0.58,151.1106834508093
2253,VINTAGE UNION JACK MEMOBOARD,6.38,1929.619107267973
2302,WHITE HANGING HEART T-LIGHT HOLDER,2.4,2337.5778149662437
2312,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0.85,157.552543945832
2313,WHITE SPOT RED CERAMIC DRAWER KNOB,0.85,158.385198950773
2355,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.18,367.8034242415824
2356,WRAP 50'S  CHRISTMAS,0.36,72.0
2357,WRAP ALPHABET DESIGN,0.34,68.0
2359,WRAP CHRISTMAS VILLAGE,0.34,69.40468783999782
2361,WRAP ENGLISH ROSE,0.36,72.0
2362,WRAP GINGHAM ROSE,0.36,72.0
2363,WRAP I LOVE LONDON,0.357777777777778,159.34684770155377
2364,WRAP KEEP CALM BIRTHDAY,0.36,72.0
2365,WRAP PINK FAIRY CAKES,0.357777777777778,89.08044616517094
2366,WRAP POPPIES  DESIGN,0.357777777777778,151.21441586969823
2367,WRAP RED APPLES,0.34,68.0
2368,WRAP SUKI AND FRIENDS,0.36,144.0
2369,WRAP VINTAGE LEAF DESIGN,0.357777777777778,109.13140937224405
2370,WRAP VINTAGE PETALS  DESIGN,0.34,68.0
2371,WRAP WEDDING DAY,0.36,72.0
2372,"WRAP, BILLBOARD FONTS DESIGN",0.34,272.0
2380,ZINC  STAR T-LIGHT HOLDER,1.04,224.64000000000001
